"project_id","project_location_id","precision_code","geoname_id","place_name","latitude","longitude","location_type_code","location_type_name","gazetteer_adm_code","gazetteer_adm_name","location_class","geographic_exactness"
"87292471699","87292471699_1651079","1","1651079","Atsabe","-8.925","125.39806","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atsabe","2","1"
"87292481496","87292481496_1651079","1","1651079","Atsabe","-8.925","125.39806","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atsabe","2","1"
"87292191274","87292191274_1944833","1","1944833","Atu Lara","-8.99139","125.37222","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atu Lara","2","1"
"87292191274","87292191274_1945253","1","1945253","Atuaben","-9.00398","125.32747","PPL","populated place","6295630|6255151|TL|BO|1945253","Earth|Oceania|East Timor|Bobonaro|Atuaben","2","1"
"87292391462","87292391462_1944811","1","1944811","Atuaben","-8.9925","125.32889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atuaben","2","1"
"87292441820","87292441820_1944811","1","1944811","Atuaben","-8.9925","125.32889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atuaben","2","1"
"87292471699","87292471699_1944811","1","1944811","Atuaben","-8.9925","125.32889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atuaben","2","1"
"87292481496","87292481496_1944811","1","1944811","Atuaben","-8.9925","125.32889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atuaben","2","1"
"87292643982","87292643982_1944811","1","1944811","Atuaben","-8.9925","125.32889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atuaben","2","1"
"87292861561","87292861561_1945253","1","1945253","Atuaben","-9.00398","125.32747","PPL","populated place","6295630|6255151|TL|BO|1945253","Earth|Oceania|East Timor|Bobonaro|Atuaben","2","1"
"87292191274","87292191274_1944879","1","1944879","Atubuti","-8.94806","125.29083","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atubuti","2","1"
"87292861561","87292861561_1944730","1","1944730","Atubuti","-8.93083","125.40528","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atubuti","2","1"
"87292861561","87292861561_1944879","1","1944879","Atubuti","-8.94806","125.29083","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Atubuti","2","1"
"87292391462","87292391462_8643091","1","8643091","Atudara","-8.94806","125.29083","PPL","populated place","6295630|6255151|TL|8643091","Earth|Oceania|East Timor|Atudara","2","1"
"87292643975","87292643975_8643091","1","8643091","Atudara","-8.94806","125.29083","PPL","populated place","6295630|6255151|TL|8643091","Earth|Oceania|East Timor|Atudara","2","1"
"87292191274","87292191274_8643286","1","8643286","Atulara","-8.97944","125.36944","PPL","populated place","6295630|6255151|TL|8643286","Earth|Oceania|East Timor|Atulara","2","1"
"87292191287","87292191287_1942488","1","1942488","Aubaca","-8.49","126.35972","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aubaca","2","1"
"87292861561","87292861561_1942488","1","1942488","Aubaca","-8.49","126.35972","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Aubaca","2","1"
"87292191130","87292191130_8629292","1","8629292","Aubeon","-8.98333","126.06667","PPL","populated place","6295630|6255151|TL|8629292","Earth|Oceania|East Timor|Aubeon","2","1"
"87292191274","87292191274_8629292","2","8629292","Aubeon","-8.98333","126.06667","PPL","populated place","6295630|6255151|TL|8629292","Earth|Oceania|East Timor|Aubeon","2","2"
"87292191287","87292191287_8629292","1","8629292","Aubeon","-8.98333","126.06667","PPL","populated place","6295630|6255151|TL|8629292","Earth|Oceania|East Timor|Aubeon","2","1"
"87292643975","87292643975_8629292","1","8629292","Aubeon","-8.98333","126.06667","PPL","populated place","6295630|6255151|TL|8629292","Earth|Oceania|East Timor|Aubeon","2","1"
"87292643982","87292643982_8629292","1","8629292","Aubeon","-8.98333","126.06667","PPL","populated place","6295630|6255151|TL|8629292","Earth|Oceania|East Timor|Aubeon","2","1"
"87292191287","87292191287_8629561","1","8629561","Baboe Kraik","-8.91579","125.40774","PPL","populated place","6295630|6255151|TL|8629561","Earth|Oceania|East Timor|Baboe Kraik","2","1"
"87292391462","87292391462_8629561","1","8629561","Baboe Kraik","-8.91579","125.40774","PPL","populated place","6295630|6255151|TL|8629561","Earth|Oceania|East Timor|Baboe Kraik","2","1"
"87292411782","87292411782_8629561","1","8629561","Baboe Kraik","-8.91579","125.40774","PPL","populated place","6295630|6255151|TL|8629561","Earth|Oceania|East Timor|Baboe Kraik","2","1"
"87292861565","87292861565_8629561","1","8629561","Baboe Kraik","-8.91579","125.40774","PPL","populated place","6295630|6255151|TL|8629561","Earth|Oceania|East Timor|Baboe Kraik","2","1"
"87292191274","87292191274_8629842","2","8629842","Baboi Leten","-8.90556","125.39639","PPL","populated place","6295630|6255151|TL|8629842","Earth|Oceania|East Timor|Baboi Leten","2","2"
"87292191287","87292191287_8629842","1","8629842","Baboi Leten","-8.90556","125.39639","PPL","populated place","6295630|6255151|TL|8629842","Earth|Oceania|East Timor|Baboi Leten","2","1"
"87292391462","87292391462_8629842","1","8629842","Baboi Leten","-8.90556","125.39639","PPL","populated place","6295630|6255151|TL|8629842","Earth|Oceania|East Timor|Baboi Leten","2","1"
"87292411782","87292411782_8629842","1","8629842","Baboi Leten","-8.90556","125.39639","PPL","populated place","6295630|6255151|TL|8629842","Earth|Oceania|East Timor|Baboi Leten","2","1"
"87292191130","87292191130_1943272","1","1943272","Babulo","-8.77722","126.56361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulo","2","1"
"87292191130","87292191130_8629690","1","8629690","Babulo","-9.02318","125.65539","PPL","populated place","6295630|6255151|TL|8629690","Earth|Oceania|East Timor|Babulo","2","1"
"87292191274","87292191274_1943272","1","1943272","Babulo","-8.77722","126.56361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulo","2","1"
"87292391462","87292391462_8629690","1","8629690","Babulo","-9.02318","125.65539","PPL","populated place","6295630|6255151|TL|8629690","Earth|Oceania|East Timor|Babulo","2","1"
"87292411776","87292411776_1943272","1","1943272","Babulo","-8.77722","126.56361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulo","2","1"
"87292441822","87292441822_1943272","1","1943272","Babulo","-8.77722","126.56361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulo","2","1"
"87292471702","87292471702_8629690","1","8629690","Babulo","-9.02318","125.65539","PPL","populated place","6295630|6255151|TL|8629690","Earth|Oceania|East Timor|Babulo","2","1"
"87292643967","87292643967_8629690","1","8629690","Babulo","-9.02318","125.65539","PPL","populated place","6295630|6255151|TL|8629690","Earth|Oceania|East Timor|Babulo","2","1"
"87292861561","87292861561_1943272","1","1943272","Babulo","-8.77722","126.56361","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulo","2","1"
"87292441799","87292441799_1944993","1","1944993","Babulu","-9.02361","125.65611","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Babulu","2","1"
"87292411775","87292411775_8629288","1","8629288","Bado-Ho'o","-8.60546","126.42586","PPL","populated place","6295630|6255151|TL|8629288","Earth|Oceania|East Timor|Bado-Ho'o","2","1"
"87292471702","87292471702_8629288","1","8629288","Bado-Ho'o","-8.60546","126.42586","PPL","populated place","6295630|6255151|TL|8629288","Earth|Oceania|East Timor|Bado-Ho'o","2","1"
"87292191130","87292191130_1942828","1","1942828","Baduro","-8.45444","126.88889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baduro","2","1"
"87292191397","87292191397_1942828","1","1942828","Baduro","-8.45444","126.88889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baduro","2","1"
"87292441822","87292441822_1942828","1","1942828","Baduro","-8.45444","126.88889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baduro","2","1"
"87292643975","87292643975_1942828","1","1942828","Baduro","-8.45444","126.88889","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baduro","2","1"
"87292191130","87292191130_1650776","1","1650776","Baguia","-8.62778","126.66139","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baguia","2","1"
"87292391462","87292391462_1650776","1","1650776","Baguia","-8.62778","126.66139","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baguia","2","1"
"87292441820","87292441820_1942877","1","1942877","Baguia","-8.58917","126.54639","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baguia","2","1"
"87292643975","87292643975_1942877","1","1942877","Baguia","-8.58917","126.54639","PPL","populated place","6295630|6255151|TL|00","Earth|Oceania|East Timor|Baguia","2","1"
"87292391462","87292391462_8643846","1","8643846","Baha Mori","-8.61667","126.41667","PPL","populated place","6295630|6255151|TL|8643846","Earth|Oceania|East Timor|Baha Mori","2","1"
